EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
409,38,No,Non-Travel,388,Research & Development,20,4,Life Sciences,1.0,4,Male,53,3,Laboratory Technician,2,Married,8550.0,4,Yes,13,3,2,80,2,20,6,3,16,4,0,1
410,42,No,Travel_Frequently,475,Research & Development,13,5,Other,1.0,3,Male,65,3,Research Scientist,2,Single,10451.0,2,No,22,3,1,80,1,21,2,3,8,8,3,1
411,44,No,Travel_Rarely,511,Research & Development,9,5,Technical Degree,1.0,3,Male,70,3,Research Scientist,3,Divorced,11250.0,7,No,15,4,4,80,0,26,2,3,3,3,2,3
412,25,No,Travel_Rarely,495,Sales,17,4,Medical,1.0,2,Male,68,3,Sales Executive,3,Married,10902.0,4,No,19,3,4,80,3,7,1,4,7,1,4,0
413,21,Yes,Travel_Rarely,336,Sales,5,4,Life Sciences,1.0,4,Male,46,2,Sales Representative,2,Married,7392.0,1,No,24,4,3,80,0,3,1,4,3,3,3,3
414,49,No,Travel_Rarely,406,Sales,11,2,Life Sciences,1.0,3,Female,55,2,Sales Executive,3,Divorced,8937.0,5,No,21,3,2,80,2,31,4,3,16,7,0,0
415,40,No,Travel_Frequently,412,Sales,14,4,Marketing,1.0,2,Female,56,4,Sales Executive,1,Married,9085.0,4,Yes,12,3,4,80,1,22,2,3,15,0,1,2
416,29,No,Travel_Rarely,410,Research & Development,14,5,Marketing,1.0,1,Female,56,3,Research Scientist,3,Divorced,9022.0,1,No,24,4,2,80,0,11,3,2,5,1,1,5
417,52,Yes,Travel_Rarely,433,Research & Development,13,3,Other,1.0,3,Female,59,2,Laboratory Technician,2,Divorced,9532.0,5,No,11,3,2,80,1,34,0,3,1,1,1,1
418,38,No,Travel_Rarely,392,Sales,7,3,Life Sciences,1.0,3,Female,53,3,Sales Representative,4,Single,8637.0,6,No,21,3,2,80,0,20,3,3,3,3,2,0
419,48,Yes,Travel_Rarely,357,Sales,7,2,Medical,1.0,1,Female,49,4,Sales Executive,2,Married,7856.0,8,No,25,4,3,80,0,30,1,1,1,1,1,1
420,37,No,Travel_Rarely,451,Sales,8,5,Medical,1.0,1,Male,62,3,Sales Executive,4,Married,9943.0,3,No,11,3,3,80,0,19,3,3,1,1,1,1
421,57,Yes,Travel_Frequently,422,Sales,8,2,Life Sciences,1.0,2,Male,58,3,Sales Executive,1,Divorced,9299.0,6,No,18,3,2,80,1,39,3,1,15,1,0,2
422,54,No,Travel_Rarely,627,Research & Development,5,4,Life Sciences,1.0,4,Female,86,3,Manager,2,Married,13810.0,8,No,16,3,4,80,1,36,2,3,1,1,1,1
423,34,No,Travel_Rarely,586,Research & Development,10,2,Life Sciences,1.0,4,Male,80,3,Manager,2,Divorced,12913.0,6,No,21,3,3,80,3,16,2,2,16,0,0,11
424,46,No,Travel_Rarely,460,Sales,6,4,Medical,1.0,1,Male,63,3,Sales Executive,3,Married,10120.0,6,No,25,3,3,80,1,28,3,1,2,1,0,2
425,43,No,Travel_Rarely,565,Sales,14,4,Life Sciences,1.0,1,Female,77,4,Manager,3,Single,12444.0,3,No,18,3,4,80,1,25,4,2,4,4,0,4
426,50,No,Travel_Rarely,498,Human Resources,7,4,Medical,1.0,1,Male,68,4,Healthcare Representative,2,Single,10962.0,4,No,17,3,4,80,0,32,5,3,1,1,0,1
427,27,No,Travel_Frequently,318,Research & Development,17,4,Medical,1.0,1,Male,43,3,Laboratory Technician,3,Married,7017.0,1,Yes,19,4,4,80,0,9,5,4,3,2,0,1
428,43,Yes,Travel_Rarely,434,Research & Development,18,3,Medical,1.0,4,Male,59,4,Laboratory Technician,2,Divorced,9564.0,3,Yes,12,3,1,80,0,25,2,3,6,4,3,1
429,47,No,Travel_Rarely,447,Sales,5,4,Life Sciences,1.0,1,Female,61,2,Sales Executive,1,Married,9855.0,6,No,13,3,4,80,3,29,5,1,17,2,1,2
430,19,No,Travel_Rarely,304,Research & Development,11,2,Medical,1.0,3,Female,41,2,Laboratory Technician,4,Divorced,6709.0,2,Yes,22,3,2,80,2,1,3,3,1,1,1,0
431,25,No,Travel_Frequently,504,Research & Development,6,3,Life Sciences,1.0,4,Male,69,1,Manufacturing Director,4,Married,11099.0,2,No,15,3,2,80,2,7,3,3,0,0,0,0
432,18,No,Travel_Frequently,302,Sales,5,2,Technical Degree,1.0,4,Male,41,3,Sales Executive,3,Single,6654.0,4,No,21,3,4,80,0,0,3,3,0,0,0,0
433,34,Yes,Travel_Rarely,347,Sales,4,4,Other,1.0,2,Male,47,3,Sales Representative,1,Divorced,7649.0,4,No,16,4,4,80,0,16,4,3,1,0,1,1
434,44,No,Travel_Rarely,457,Research & Development,11,5,Life Sciences,1.0,4,Female,62,2,Laboratory Technician,3,Married,10055.0,6,No,25,4,4,80,1,21,3,3,1,1,1,1
435,52,No,Travel_Rarely,698,Research & Development,13,3,Marketing,1.0,1,Male,96,2,Research Director,2,Married,15366.0,4,No,25,3,3,80,3,34,2,3,12,8,7,10
436,37,No,Travel_Rarely,355,Research & Development,16,2,Life Sciences,1.0,3,Male,48,3,Laboratory Technician,1,Single,7828.0,2,No,19,3,1,80,1,19,3,1,2,0,1,2
437,53,No,Travel_Rarely,518,Research & Development,5,4,Medical,1.0,1,Male,71,3,Laboratory Technician,3,Single,11401.0,6,No,22,4,4,80,3,35,4,3,29,4,4,3
438,23,No,Travel_Rarely,382,Research & Development,12,4,Life Sciences,1.0,3,Male,52,2,Research Scientist,3,Married,8418.0,4,Yes,15,3,3,80,2,5,4,3,5,0,3,2
439,19,No,Non-Travel,358,Research & Development,6,5,Life Sciences,1.0,3,Male,49,1,Laboratory Technician,3,Divorced,7882.0,1,No,12,3,3,80,1,1,1,3,1,0,1,1
440,36,Yes,Travel_Rarely,288,Research & Development,10,1,Medical,1.0,4,Female,39,2,Laboratory Technician,1,Single,6342.0,3,Yes,24,3,1,80,0,18,4,3,0,0,0,0
441,40,No,Travel_Rarely,388,Sales,8,3,Life Sciences,1.0,3,Male,53,3,Sales Representative,4,Divorced,8552.0,3,No,14,3,4,80,1,22,1,2,0,0,0,0
442,36,Yes,Travel_Rarely,397,Sales,24,5,Medical,1.0,3,Female,54,3,Sales Representative,1,Married,8737.0,5,Yes,20,3,4,80,2,18,2,1,6,6,3,6
443,18,No,Travel_Frequently,358,Sales,15,4,Technical Degree,1.0,4,Male,49,4,Sales Executive,3,Married,7888.0,3,No,13,3,3,80,2,0,6,2,0,0,0,0
444,36,No,Travel_Frequently,377,Research & Development,9,4,Other,1.0,3,Male,51,3,Laboratory Technician,4,Divorced,8310.0,3,No,16,3,4,80,0,18,1,4,5,4,0,3
445,23,No,Travel_Frequently,657,Research & Development,9,3,Life Sciences,1.0,3,Male,90,2,Research Director,1,Single,14462.0,4,No,22,3,2,80,3,5,3,3,5,2,1,5
446,43,No,Travel_Rarely,746,Research & Development,11,5,Marketing,1.0,4,Female,100,2,Research Director,1,Divorced,16418.0,4,No,13,3,3,80,0,25,3,4,3,1,1,0
447,40,No,Travel_Rarely,409,Sales,10,4,Medical,1.0,4,Male,56,3,Sales Executive,3,Divorced,9015.0,3,No,25,3,2,80,3,22,3,3,17,0,0,7
448,27,No,Travel_Rarely,247,Sales,14,1,Life Sciences,1.0,4,Female,34,3,Sales Representative,3,Married,5453.0,3,No,13,3,4,80,2,9,4,2,9,2,4,4
449,31,No,Travel_Rarely,252,Sales,8,2,Medical,1.0,2,Male,34,3,Sales Executive,4,Married,5558.0,4,Yes,21,4,3,80,0,13,4,3,6,2,6,6
450,26,No,Travel_Rarely,448,Research & Development,17,4,Human Resources,1.0,2,Male,61,3,Laboratory Technician,4,Single,9862.0,4,Yes,16,3,4,80,1,8,2,3,8,0,3,0
451,36,No,Travel_Rarely,278,Research & Development,8,2,Medical,1.0,4,Male,38,3,Laboratory Technician,1,Married,6130.0,2,No,18,4,4,80,0,18,0,3,5,4,2,4
452,46,Yes,Travel_Rarely,418,Research & Development,12,3,Marketing,1.0,3,Male,57,2,Research Scientist,4,Married,9198.0,6,Yes,11,3,1,80,1,28,2,2,0,0,0,0
453,27,No,Travel_Frequently,321,Sales,9,4,Life Sciences,1.0,3,Male,44,2,Sales Executive,4,Divorced,7068.0,4,No,14,3,4,80,2,9,4,2,9,7,5,6
454,42,No,Travel_Frequently,418,Sales,6,3,Marketing,1.0,3,Male,57,4,Sales Executive,3,Married,9204.0,4,No,20,3,4,80,1,24,5,2,7,2,1,0
455,31,Yes,Travel_Rarely,497,Sales,20,3,Other,1.0,3,Male,68,3,Manager,1,Married,10953.0,5,No,16,3,2,80,2,13,1,2,7,7,0,3
456,29,No,Travel_Frequently,284,Research & Development,19,2,Other,1.0,4,Female,39,3,Research Scientist,4,Married,6249.0,3,Yes,17,3,4,80,0,11,3,2,0,0,0,0
457,35,No,Travel_Rarely,406,Research & Development,15,4,Life Sciences,1.0,2,Female,55,3,Laboratory Technician,2,Married,8938.0,5,No,23,3,4,80,1,17,6,3,0,0,0,0
458,26,No,Travel_Rarely,480,Research & Development,6,2,Human Resources,1.0,2,Male,66,3,Laboratory Technician,3,Single,10569.0,9,No,20,3,4,80,1,8,2,3,8,2,0,2
459,31,No,Travel_Rarely,426,Sales,6,4,Medical,1.0,3,Male,58,4,Sales Executive,4,Single,9376.0,3,No,21,3,1,80,0,13,3,4,10,1,3,2
460,25,No,Travel_Rarely,371,Research & Development,6,4,Life Sciences,1.0,4,Female,51,3,Research Scientist,3,Single,8163.0,3,No,20,3,2,80,1,7,2,4,4,2,1,4
461,56,No,Travel_Frequently,545,Sales,8,5,Other,1.0,1,Male,75,3,Sales Executive,3,Single,12001.0,7,No,20,1,3,80,2,38,2,3,7,0,0,7
462,37,No,Travel_Frequently,408,Research & Development,6,4,Medical,1.0,4,Female,56,1,Research Scientist,1,Married,8992.0,4,No,25,3,4,80,3,19,2,3,12,1,0,11
463,30,No,Travel_Frequently,425,Research & Development,7,3,Life Sciences,1.0,2,Female,58,3,Research Scientist,4,Married,9370.0,6,No,15,3,4,80,3,12,2,3,12,11,0,1
464,39,No,Travel_Frequently,476,Sales,12,5,Medical,1.0,4,Female,65,3,Sales Representative,3,Single,10482.0,7,Yes,13,3,1,80,2,21,3,4,13,3,4,0
465,35,No,Travel_Rarely,403,Research & Development,5,4,Marketing,1.0,1,Male,55,1,Research Scientist,3,Divorced,8878.0,1,No,14,3,3,80,0,17,2,2,5,0,2,4
466,34,No,Travel_Rarely,545,Research & Development,6,3,Life Sciences,1.0,4,Male,74,1,Manufacturing Director,1,Single,11996.0,2,No,12,3,1,80,2,16,6,4,16,16,0,6
467,43,No,Non-Travel,379,Research & Development,13,3,Medical,1.0,3,Female,52,3,Laboratory Technician,4,Married,8347.0,5,No,18,4,4,80,1,25,1,2,10,1,0,0
468,44,No,Travel_Rarely,446,Research & Development,14,3,Other,1.0,4,Male,61,2,Research Scientist,3,Married,9826.0,7,Yes,14,3,3,80,0,26,0,3,0,0,0,0
469,31,No,Travel_Rarely,272,Research & Development,3,2,Life Sciences,1.0,1,Female,37,3,Research Scientist,3,Single,6003.0,3,No,23,3,3,80,1,13,3,2,0,0,0,0
470,31,No,Travel_Rarely,312,Research & Development,11,2,Medical,1.0,1,Male,43,3,Laboratory Technician,4,Single,6884.0,3,No,17,3,3,80,1,13,0,3,9,3,8,1
471,34,No,Travel_Rarely,373,Research & Development,3,2,Life Sciences,1.0,4,Female,51,1,Research Scientist,3,Single,8220.0,5,No,24,3,3,80,3,16,3,3,13,2,4,10
472,18,Yes,Travel_Rarely,301,Research & Development,4,3,Life Sciences,1.0,3,Male,41,2,Research Scientist,1,Married,6643.0,4,No,16,3,4,80,0,0,4,3,0,0,0,0
473,21,No,Travel_Frequently,418,Sales,15,4,Technical Degree,1.0,2,Male,57,4,Sales Representative,4,Divorced,9203.0,2,No,19,3,1,80,2,3,4,4,3,2,0,3
474,50,No,Travel_Rarely,416,Sales,9,2,Technical Degree,1.0,2,Female,57,3,Sales Executive,3,Divorced,9152.0,6,No,15,3,1,80,2,32,1,1,9,3,4,2
475,53,No,Travel_Rarely,696,Research & Development,21,4,Life Sciences,1.0,2,Male,95,3,Manufacturing Director,4,Single,15321.0,6,Yes,25,3,4,80,1,35,0,3,4,0,1,1
476,34,No,Travel_Rarely,444,Sales,12,2,Life Sciences,1.0,3,Male,61,2,Manager,3,Divorced,9771.0,4,No,16,2,4,80,2,16,0,4,3,3,3,1
477,18,No,Travel_Rarely,387,Sales,13,5,Life Sciences,1.0,2,Male,53,3,Sales Executive,3,Married,8520.0,3,No,13,3,3,80,1,0,4,3,0,0,0,0
478,40,No,Travel_Rarely,415,Research & Development,3,2,Life Sciences,1.0,1,Male,57,3,Laboratory Technician,2,Married,9137.0,4,No,24,3,4,80,1,22,3,2,22,2,1,1
479,60,No,Travel_Rarely,629,Research & Development,12,5,Life Sciences,1.0,4,Female,86,3,Laboratory Technician,3,Single,13844.0,7,No,12,3,1,80,0,42,4,2,1,1,0,0
480,48,No,Travel_Rarely,691,Research & Development,3,3,Medical,1.0,3,Male,95,3,Manufacturing Director,3,Single,15202.0,6,No,19,3,4,80,0,30,2,3,1,1,0,0
481,35,No,Travel_Rarely,575,Research & Development,19,5,Medical,1.0,3,Male,79,3,Manager,4,Married,12667.0,3,No,12,3,4,80,1,17,6,3,0,0,0,0
482,27,No,Travel_Rarely,376,Sales,6,4,Life Sciences,1.0,4,Male,51,1,Sales Executive,2,Divorced,8275.0,3,No,15,3,3,80,0,9,4,3,4,2,1,3
483,20,No,Travel_Rarely,426,Research & Development,4,1,Life Sciences,1.0,3,Male,58,1,Manager,3,Single,9375.0,1,No,20,3,3,80,0,2,1,3,0,0,0,0
484,39,No,Non-Travel,407,Sales,9,3,Medical,1.0,3,Female,55,3,Sales Representative,4,Married,8957.0,4,No,20,3,4,80,1,21,5,2,14,1,13,0
485,29,No,Travel_Frequently,345,Sales,8,5,Life Sciences,1.0,3,Male,47,3,Sales Executive,4,Single,7603.0,3,No,22,3,2,80,0,11,3,2,1,1,1,0
486,22,Yes,Travel_Rarely,458,Research & Development,19,3,Life Sciences,1.0,2,Female,62,2,Research Scientist,2,Single,10078.0,6,No,21,3,1,80,1,4,1,2,4,0,3,4
487,30,No,Travel_Rarely,420,Research & Development,11,3,Medical,1.0,3,Male,57,3,Laboratory Technician,2,Divorced,9245.0,4,No,18,3,2,80,2,12,2,1,12,1,3,5
488,26,Yes,Travel_Rarely,220,Sales,8,1,Medical,1.0,3,Male,30,2,Sales Executive,1,Single,4943.9992,0,Yes,16,3,3,80,0,8,2,3,0,0,0,0
489,53,No,Travel_Rarely,485,Sales,9,3,Medical,1.0,1,Female,66,3,Sales Representative,4,Single,10681.0,7,No,14,3,3,80,2,35,6,1,6,3,2,0
490,45,No,Travel_Rarely,651,Research & Development,9,3,Other,1.0,3,Male,89,2,Research Director,4,Divorced,14339.0,3,No,25,3,2,80,1,27,4,4,1,0,0,1
491,36,Yes,Travel_Rarely,410,Research & Development,8,4,Marketing,1.0,4,Male,56,2,Research Scientist,1,Married,9021.0,4,Yes,25,3,3,80,0,18,3,2,1,1,1,0
492,51,No,Travel_Rarely,533,Sales,6,4,Other,1.0,3,Male,73,3,Sales Executive,1,Single,11740.0,4,No,15,3,3,80,1,33,3,4,5,5,0,1
493,37,No,Travel_Rarely,369,Sales,5,2,Medical,1.0,1,Male,50,2,Sales Representative,3,Married,8119.0,1,No,20,3,4,80,0,19,3,3,1,0,0,1
494,28,No,Non-Travel,346,Research & Development,8,4,Life Sciences,1.0,4,Male,47,4,Laboratory Technician,2,Married,7631.0,1,No,25,3,4,80,0,10,4,2,4,4,4,3
495,52,Yes,Travel_Rarely,501,Research & Development,15,4,Life Sciences,1.0,2,Female,68,3,Research Scientist,1,Married,11028.0,7,No,24,3,1,80,1,34,0,1,0,0,0,0
496,42,No,Travel_Frequently,352,Sales,5,3,Marketing,1.0,4,Male,48,3,Sales Executive,3,Married,7760.0,2,No,18,4,1,80,1,24,2,4,4,1,4,1
497,26,No,Travel_Rarely,268,Research & Development,5,2,Life Sciences,1.0,3,Male,36,1,Research Scientist,4,Married,5914.0,2,Yes,23,3,1,80,1,8,3,4,1,1,1,1
498,35,No,Travel_Rarely,576,Research & Development,8,5,Medical,1.0,4,Female,79,3,Manager,4,Single,12678.0,5,Yes,19,3,3,80,1,17,0,3,0,0,0,0
499,28,Yes,Travel_Frequently,383,Research & Development,16,4,Medical,1.0,3,Female,52,1,Research Scientist,2,Divorced,8445.0,0,No,14,3,3,80,1,10,2,3,0,0,0,0
500,23,No,Travel_Rarely,381,Sales,7,4,Life Sciences,1.0,4,Male,52,2,Sales Representative,3,Single,8383.0,2,Yes,12,3,2,80,1,5,3,3,5,1,0,1
501,46,Yes,Travel_Rarely,346,Sales,6,2,Technical Degree,1.0,1,Male,47,2,Sales Executive,3,Divorced,7626.0,3,No,23,3,3,80,0,28,4,2,0,0,0,0
502,56,No,Travel_Rarely,630,Research & Development,19,4,Life Sciences,1.0,4,Male,86,4,Manager,4,Single,13874.0,8,No,17,3,3,80,2,38,4,1,6,6,6,2
503,23,No,Travel_Rarely,209,Human Resources,10,2,Life Sciences,1.0,3,Male,30,4,Human Resources,3,Divorced,4943.9992,4,Yes,15,3,1,80,1,5,0,3,0,0,0,0
504,42,No,Non-Travel,563,Research & Development,5,4,Other,1.0,3,Male,77,3,Manager,2,Divorced,12406.0,2,No,15,3,2,80,2,24,5,3,4,2,0,1
505,30,Yes,Travel_Frequently,294,Sales,10,2,Medical,1.0,3,Male,40,3,Sales Executive,2,Married,6468.0,0,No,25,3,4,80,0,12,2,1,1,0,1,1
506,32,No,Travel_Frequently,379,Sales,6,4,Life Sciences,1.0,2,Male,52,3,Sales Executive,3,Married,8340.0,2,No,11,3,2,80,0,14,4,2,1,1,1,0
507,31,No,Travel_Rarely,714,Research & Development,15,5,Human Resources,1.0,3,Male,98,3,Research Director,1,Married,15709.0,7,No,23,3,3,80,3,13,0,3,13,1,2,4
508,28,Yes,Travel_Rarely,441,Research & Development,11,3,Technical Degree,1.0,4,Male,60,4,Manager,2,Married,9710.0,3,Yes,21,4,3,80,1,10,2,4,2,2,1,0
509,37,No,Travel_Rarely,399,Research & Development,6,3,Life Sciences,1.0,3,Male,54,1,Research Scientist,1,Married,8785.0,1,No,14,3,2,80,1,19,2,3,2,2,0,2
510,28,No,Travel_Frequently,392,Sales,13,2,Technical Degree,1.0,1,Male,54,3,Sales Executive,4,Married,8645.0,4,No,20,3,1,80,2,10,3,1,10,0,10,0
511,39,No,Travel_Rarely,530,Research & Development,7,4,Medical,1.0,4,Male,72,3,Manager,3,Married,11672.0,2,No,21,3,3,80,2,21,4,2,9,2,3,3
512,36,No,Travel_Rarely,403,Research & Development,4,4,Medical,1.0,1,Female,55,3,Laboratory Technician,4,Single,8880.0,5,No,25,3,2,80,2,18,2,3,6,3,3,3
513,34,No,Travel_Rarely,493,Research & Development,13,4,Life Sciences,1.0,3,Female,67,4,Manager,3,Single,10856.0,3,No,25,3,2,80,1,16,4,3,1,0,1,1
514,27,No,Travel_Rarely,364,Research & Development,15,5,Medical,1.0,4,Female,50,3,Laboratory Technician,3,Married,8012.0,0,Yes,24,3,3,80,1,9,2,2,6,0,0,6
515,31,Yes,Non-Travel,446,Research & Development,24,5,Life Sciences,1.0,2,Male,61,2,Laboratory Technician,2,Married,9812.0,1,No,17,4,4,80,3,13,3,3,11,7,1,11
516,44,No,Travel_Rarely,448,Sales,9,4,Life Sciences,1.0,4,Female,61,2,Sales Executive,3,Divorced,9872.0,4,No,14,3,4,80,3,26,2,3,14,1,1,1
517,42,No,Travel_Rarely,362,Research & Development,12,2,Life Sciences,1.0,3,Male,49,2,Laboratory Technician,1,Married,7976.0,6,No,23,3,4,80,2,24,3,3,14,0,1,1
518,27,No,Travel_Rarely,363,Sales,8,5,Life Sciences,1.0,4,Male,49,3,Sales Representative,4,Married,7988.0,1,Yes,22,3,3,80,0,9,6,3,0,0,0,0
519,37,No,Travel_Frequently,382,Sales,24,3,Other,1.0,3,Female,52,3,Sales Representative,1,Married,8409.0,5,No,11,4,2,80,0,19,4,4,2,1,2,2
520,44,No,Travel_Rarely,329,Research & Development,13,2,Life Sciences,1.0,4,Male,45,2,Research Scientist,3,Single,7259.0,6,No,13,3,1,80,1,26,3,3,4,0,0,3
521,20,No,Travel_Rarely,250,Research & Development,13,3,Life Sciences,1.0,3,Male,34,3,Laboratory Technician,3,Divorced,5505.0,3,No,18,3,4,80,0,2,4,3,2,2,0,2
522,42,No,Travel_Rarely,447,Sales,7,4,Medical,1.0,2,Male,61,3,Sales Representative,1,Married,9838.0,3,Yes,23,3,1,80,0,24,5,3,4,2,0,3
523,30,No,Travel_Rarely,403,Research & Development,11,2,Life Sciences,1.0,3,Male,55,2,Laboratory Technician,2,Divorced,8869.0,5,No,24,3,4,80,1,12,2,4,12,4,7,2
524,42,No,Non-Travel,366,Research & Development,7,3,Other,1.0,2,Female,50,2,Research Scientist,1,Single,8064.0,4,No,24,3,3,80,0,24,3,3,3,1,3,3
525,29,No,Travel_Rarely,614,Research & Development,21,3,Medical,1.0,3,Female,84,3,Research Director,3,Married,13519.0,4,No,22,3,4,80,3,11,0,3,11,11,3,2
526,18,No,Non-Travel,233,Research & Development,10,1,Marketing,1.0,3,Male,32,1,Research Scientist,4,Married,5139.0,4,No,14,4,3,80,1,0,3,3,0,0,0,0
527,20,No,Travel_Frequently,547,Research & Development,14,4,Life Sciences,1.0,3,Female,75,3,Manager,4,Married,12036.0,5,Yes,17,3,1,80,0,2,2,3,2,2,2,2
528,37,No,Travel_Frequently,405,Research & Development,9,4,Life Sciences,1.0,4,Male,55,3,Laboratory Technician,1,Married,8926.0,4,No,24,3,4,80,2,19,2,3,19,2,2,2
529,39,No,Non-Travel,635,Research & Development,7,4,Life Sciences,1.0,4,Female,87,3,Research Director,4,Single,13974.0,5,No,13,3,4,80,0,21,3,3,2,0,0,2
530,27,No,Travel_Rarely,299,Research & Development,6,3,Life Sciences,1.0,3,Female,41,2,Laboratory Technician,2,Married,6589.0,0,No,16,3,4,80,1,9,0,4,2,2,2,2
531,43,Yes,Travel_Rarely,411,Human Resources,9,2,Technical Degree,1.0,2,Male,56,2,Human Resources,1,Married,9049.0,4,No,18,3,4,80,1,25,4,3,13,1,4,3
532,20,No,Travel_Frequently,352,Sales,10,4,Life Sciences,1.0,3,Male,48,1,Sales Representative,1,Single,7749.0,3,No,15,3,4,80,1,2,4,3,2,2,1,2
533,36,No,Travel_Rarely,549,Sales,7,5,Human Resources,1.0,4,Male,75,1,Manager,2,Single,12094.0,1,Yes,25,3,3,80,1,18,5,3,6,1,2,6
534,24,No,Travel_Rarely,419,Research & Development,6,2,Life Sciences,1.0,4,Female,57,2,Research Director,1,Divorced,9218.0,4,Yes,22,3,4,80,2,6,2,3,0,0,0,0
535,30,No,Travel_Rarely,242,Human Resources,6,2,Medical,1.0,2,Male,33,3,Healthcare Representative,1,Married,5331.0,3,No,16,3,2,80,0,12,2,3,5,5,3,5
536,37,No,Travel_Rarely,482,Research & Development,2,3,Technical Degree,1.0,3,Female,66,1,Manager,2,Divorced,10609.0,4,No,15,3,2,80,2,19,2,3,5,0,3,3
537,28,No,Travel_Rarely,558,Research & Development,3,4,Medical,1.0,4,Male,76,3,Research Director,4,Married,12280.0,1,Yes,17,3,1,80,3,10,2,3,6,6,1,3
538,33,No,Non-Travel,308,Research & Development,3,4,Life Sciences,1.0,4,Female,42,4,Research Scientist,4,Married,6797.0,2,Yes,11,3,4,80,0,9,3,3,0,0,0,0
539,47,Yes,Travel_Frequently,440,Sales,10,4,Medical,1.0,4,Male,60,3,Sales Executive,1,Single,9693.0,6,No,16,3,2,80,3,29,2,2,13,1,0,6
540,31,No,Travel_Rarely,492,Research & Development,7,1,Life Sciences,1.0,3,Male,67,1,Manufacturing Director,4,Divorced,10834.0,2,Yes,17,3,3,80,2,13,3,3,3,1,0,3
541,45,Yes,Travel_Rarely,460,Human Resources,21,4,Technical Degree,1.0,1,Male,63,4,Human Resources,4,Married,10131.0,3,Yes,17,3,2,80,0,27,3,2,2,1,0,2
542,25,No,Travel_Rarely,448,Sales,10,5,Medical,1.0,3,Male,61,3,Sales Executive,3,Married,9868.0,5,No,23,2,3,80,1,7,3,3,6,6,1,6
543,42,No,Travel_Frequently,335,Sales,14,1,Medical,1.0,3,Male,46,2,Sales Representative,3,Single,7379.0,3,Yes,17,3,4,80,0,24,4,4,5,5,3,5
544,51,No,Travel_Rarely,669,Research & Development,14,4,Life Sciences,1.0,2,Male,92,1,Manager,1,Married,14737.0,7,No,17,3,4,80,2,33,3,4,1,1,1,1
545,18,No,Travel_Frequently,371,Research & Development,8,4,Other,1.0,3,Male,51,2,Laboratory Technician,3,Divorced,8165.0,1,Yes,18,3,1,80,0,0,3,3,0,0,0,0
546,29,No,Travel_Rarely,648,Research & Development,5,4,Life Sciences,1.0,4,Male,89,2,Manufacturing Director,3,Married,14263.0,4,No,11,3,2,80,3,11,2,3,8,4,0,8
547,42,Yes,Travel_Rarely,423,Human Resources,4,4,Life Sciences,1.0,2,Male,58,3,Human Resources,1,Divorced,9321.0,5,No,20,3,3,80,0,24,2,3,1,1,0,0
548,34,Yes,Travel_Frequently,431,Sales,10,5,Other,1.0,1,Male,59,2,Sales Executive,2,Married,9494.0,3,No,12,4,2,80,0,16,3,2,4,4,2,1
549,40,No,Travel_Rarely,415,Research & Development,10,4,Life Sciences,1.0,4,Male,57,3,Laboratory Technician,1,Married,9150.0,5,Yes,21,3,1,80,2,22,5,2,14,8,4,0
550,30,Yes,Travel_Rarely,285,Sales,6,2,Marketing,1.0,2,Female,39,2,Sales Executive,2,Single,6274.0,3,Yes,11,3,1,80,0,12,3,3,0,0,0,0
551,37,No,Travel_Rarely,390,Research & Development,18,4,Life Sciences,1.0,3,Male,53,2,Laboratory Technician,4,Married,8595.0,6,No,24,3,4,80,1,19,3,3,12,0,11,0
552,35,No,Non-Travel,558,Research & Development,8,3,Marketing,1.0,4,Male,76,3,Manager,2,Divorced,12297.0,5,Yes,14,4,4,80,2,17,4,1,14,2,1,14
553,48,Yes,Travel_Rarely,603,Human Resources,4,3,Human Resources,1.0,2,Female,82,3,Manager,3,Married,13279.0,5,Yes,15,3,4,80,1,30,2,2,8,3,6,0
554,39,No,Travel_Frequently,366,Human Resources,18,3,Life Sciences,1.0,3,Male,50,3,Human Resources,4,Married,8060.0,3,Yes,15,3,2,80,2,21,4,3,6,0,4,4
555,40,Yes,Travel_Rarely,388,Research & Development,17,2,Life Sciences,1.0,4,Male,53,2,Laboratory Technician,1,Divorced,8540.0,2,No,24,3,4,80,0,22,2,2,4,1,0,2
556,32,No,Travel_Rarely,388,Research & Development,9,5,Other,1.0,2,Male,53,4,Laboratory Technician,3,Single,8539.0,3,No,16,3,1,80,1,14,3,4,7,1,0,1
557,32,No,Travel_Frequently,373,Sales,10,4,Life Sciences,1.0,3,Male,51,4,Sales Representative,4,Married,8214.0,5,No,19,3,3,80,1,14,2,2,11,1,6,2
558,32,No,Non-Travel,366,Research & Development,5,5,Life Sciences,1.0,2,Female,50,4,Laboratory Technician,1,Married,8067.0,1,No,14,3,2,80,0,14,3,3,1,1,1,1
